회사명,제목,링크,지역,경력,학력,고용형태,마감일,직무분야,기타정보
유성소방 안전공사,소방/방재 정규직 채용 (신입모집),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49433967&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,경기 수원시 팔달구,경력무관,고졸↑,정규직,~ 12/20(금),"기계기사, 내선전공, 안전관리자, 현장관리자, 현장기사 외                    등록일 24/11/20",건설·건축 지원 급상승
365드림치과병원,추가채용] 부산 365드림치과병원에서 데스크 모집합니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49445738&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,부산 수영구,경력무관,학력무관,정규직,~ 12/21(토),"병원코디네이터, 치과, 치과 등록일 24/11/21",
케이앤케이컴퍼니(knkcompany),"디자인/기획/SNS 외 정규직 채용 - 경력, 신입 모집",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49466893&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,경기 수원시 팔달구,신입·경력,학력무관,정규직,~ 12/25(수),"브랜딩, SNS, 공예디자인, 그래픽디자인, 배너디자인 외                    수정일 24/11/26",상품기획·MD 지원 급상승
주식회사탠저비,[탠저비] 인테리어 디자이너 채용 공고 모집(신입/경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49474006&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,제주 제주시,경력무관,학력무관,정규직·계약직,채용시,"가구디자인, 건축디자인, 경관디자인, 공간디자인, 실내디자인 외                    수정일 24/11/26",
의정부도시공사,2024년 제4회 직무능력중심 직원채용 공개모집 공고(수영강사),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49451021&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,경기 의정부시,경력무관,학력무관,정규직,~ 12/03(화),"스포츠강사, 생활체육, 수영, 공사·공기업 수정일 24/11/22",성과급/상여금
의정부도시공사,2024년 제4회 직무능력중심 직원채용 공개모집 공고(전기),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49451026&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,경기 의정부시,경력무관,학력무관,정규직,~ 12/03(화),"전기기사, 전기설계, 전기설비, 공사·공기업 수정일 24/11/22",인기있는
의정부도시공사,2024년 제4회 직무능력중심 직원채용 공개모집 공고(기계),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49451027&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,경기 의정부시,경력무관,학력무관,정규직,~ 12/03(화),"기계기사, 공조설비, 에너지관리, 공사·공기업 수정일 24/11/22",건설·건축 지원 급상승
의정부도시공사,2024년 제4회 직무능력중심 직원채용 공개모집 공고(미화원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49451025&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,경기 의정부시,경력무관,학력무관,정규직,~ 12/03(화),"미화원, 환경관리자, 환경설계, 공사·공기업 수정일 24/11/22",성과급/상여금
(주)성엔지니어링,(주)성엔지니어링 하반기 채용 신입/경력 모집 영업팀,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467095&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,충북 청주시 청원구,신입·경력,초대졸↑,정규직,채용시,"영업, 거래처관리, 기술영업, 장비영업, B2B 외                    등록일 24/11/25",생산 스크랩 급상승
(주)성엔지니어링,(주)성엔지니어링 하반기 채용 신입/경력 모집 생산팀,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49467076&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,충북 청주시 청원구,경력무관,고졸↑,정규직,채용시,"단순생산직, 공정엔지니어, 납땜, 조립, 회로설계 외                    등록일 24/11/25",성과급/상여금
(주)아이아이컴바인드,[아이아이컴바인드] 글로벌 채용담당자 모집(경력),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49407639&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,서울 마포구,경력3년↑,대졸↑,정규직,~ 01/14(화),"채용담당자, 인사, 인사행정, 경영지원, HRD 외                    등록일 24/11/15",급성장중
(주)케이티씨에스,[대기업/KT계열사] AICC본부 경력직 정규직 채용담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49363880&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,서울 동작구,경력무관,학력무관,정규직,~ 12/08(일),"채용담당자, 채용공고관리, 채용설명회, 채용대행, 면접/인터뷰 외                    등록일 24/11/08",고객상담·TM 지원 급상승
(주)케이티씨에스,[KT계열사/정규직]KTCS 소속 채용담당자 모집(용산),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49345142&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,서울 용산구,경력,학력무관,정규직,~ 12/06(금),"채용담당자, 채용공고관리, 채용설명회, 채용대행, 면접/인터뷰 외                    수정일 24/11/06",인사·노무·HRD 스크랩 급상승
(주)엘에스씨푸드,단체급식 채용담당자(육아휴직 대체인력) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49432224&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,서울 노원구,경력,초대졸↑,계약직,채용시,"채용담당자, 채용공고관리, 채용대행, 영양사, 채용 외                    등록일 24/11/19",워라밸
쿠팡로지스틱스서비스(유),[쿠팡로지스틱스서비스] 배송캠프 현장 계약직 채용 담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49410922&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,서울 송파구,경력무관,학력무관,계약직,~ 12/15(일),"채용담당자, 인사, 인력관리, 인사행정, 인사기획 외                    수정일 24/11/20",연봉상승률 15% 이상
(주)드림피플파트너스,[본사/내방역(7호선)] 잡매니저(채용담당자)신입직원 모집합니다,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49475568&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,서울 서초구,신입,학력무관,정규직,~ 12/26(목),"채용담당자, 채용공고관리, 채용대행, 인재발굴, 잡매니저 외                    수정일 24/11/26",워라밸
(주)사람인에이치에스,[고양/역세권/정규직] 인재채용 전문가(경력) 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49416399&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,경기 고양시 일산동구,경력5년↑,초대졸↑,정규직,채용시,"채용담당자, 채용공고관리, 채용설명회, 채용대행, 인사 외                    수정일 24/11/27",인사·노무·HRD 조회 급상승
(주)아리오,주식회사 아리오 본사  정규직  인사채용 담자자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49441723&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,서울 마포구,경력무관,초대졸↑,정규직,~ 12/21(토),"채용대행, 인재발굴, 헤드헌터, 아웃소싱, HR컨설팅 외                    등록일 24/11/21",
(주)토스카나,더 시에나그룹 경영지원팀 채용담당 경력직 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49479894&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,제주 서귀포시,경력10년↑,초대졸↑,정규직,~ 12/27(금),"채용담당자, 채용공고관리, 면접/인터뷰, 호텔 등록일 24/11/27",오늘 뜬
(주)아이에스에프넷코리아,노무 · 채용담당자 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49411579&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=3c9caabb-eb42-4e7a-a2b1-349981240c13,서울 강남구,경력3년↑,초대졸↑,정규직,~ 11/29(금),"채용담당자, 조직문화, 하드웨어, 장비구축, 유지보수 외                    수정일 24/11/16",마감임박
