회사명,채용중,기업규모,산업분야,존속기간,CEO,세부정보
한화호텔앤드리조트(주),15,"대기업,1000대기업",휴양콘도 운영업,46년차,김형조,"정시출근, 필요할 때 회의, 프리한 복장 가능, 커리어 발전 기회, 야근없는 기업"
(주)대동,,"중견기업,1000대기업",농업 및 임업용 기계 제조업,78년차,김준식/원유현,"정시출근, 프리한 복장 가능, 필요할 때 회의, 평균 연령 40대 이상, 커리어 발전 기회"
데상트코리아(주),1,"중견기업,1000대기업",남녀용 겉옷 및 셔츠 도매업,25년차,시미즈모토나리,"프리한 복장 가능, 평균 연령 30대, 자유로운 연차, 평균근속 2~5년, 커리어 발전 기회"
(주)바이넥스,10,,완제 의약품 제조업,40년차,이혁종,"정시출근, 프리한 복장 가능, 평균근속 2~5년, 평균 연령 30대, 커리어 발전 기회"
(주)더본코리아,2,중견기업,상품 종합 도매업,31년차,강석원/백종원,"프리한 복장 가능, 정시출근, 평균 연령 30대, 자유로운 연차, 커리어 발전 기회"
(주)티몬,,,전자상거래 소매 중개업,15년차,류광진,"프리한 복장 가능, 정시출근, 자유로운 연차, 평균 연령 30대, 평균근속 2년 미만"
(주)시몬스,1,중견기업,매트리스 및 침대 제조업,33년차,안정호,"정시출근, 평균 연령 30대, 프리한 복장 가능, 평균근속 2년 미만, 필요할 때 회식"
(주)효성,,"대기업,1000대기업",지주회사,68년차,조현준/김규영,"평균 연령 40대 이상, 커리어 발전 기회, 자유로운 연차, 프리한 복장 가능, 정시출근"
(주)러쉬코리아,3,중소기업,"화장품, 비누 및 방향제 소매업",23년차,우미령,"프리한 복장 가능, 평균 연령 20대, 필요할 때 회의, 워라밸 Good, 정시출근"
(주)스타쉽엔터테인먼트,3,대기업,매니저업,17년차,이진성/이훈희,"필요할 때 회의, 프리한 복장 가능, 필요할 때 회식, 커리어 발전 기회, 평균근속 2~5년"
에이치케이이노엔(주),1,"대기업,1000대기업",완제 의약품 제조업,11년차,곽달원,"평균 연령 30대, 월 1회 회식, 성과급 연 1회, 평균근속 2~5년, 프리한 복장 가능"
에어부산(주),,대기업,항공 여객 운송업,18년차,두성국,"평균 연령 30대, 정장입고 출근, 자유로운 육아휴직, 평균근속 2~5년, 필요할 때 회의"
한전KPS(주),,대기업,일반전기 공사업,41년차,김홍연,"평균 연령 40대 이상, 커리어 발전 기회, 평균근속 10년 이상, 정시출근, 자유로운 연차"
(주)제주항공,3,"중견기업,1000대기업",항공 여객 운송업,20년차,김이배,"평균 연령 30대, 프리한 복장 가능, 평균근속 2~5년, 정시출근, 자유로운 육아휴직"
상신브레이크(주),,"중견기업,1000대기업",자동차용 신품 제동장치 제조업,50년차,박세종,"평균 연령 40대 이상, 프리한 복장 가능, 자유로운 연차, 필요할 때 회식, 정시출근"
캐논코리아(주),,"대기업,1000대기업",사무용 기계 및 장비 제조업,40년차,박정우/코시미즈요시유키,"프리한 복장 가능, 필요할 때 회의, 정시출근, 워라밸 Good, 평균 연령 30대"
유니셈(주),4,중견기업,반도체 제조용 기계 제조업,29년차,김형균/이양구,"정시출근, 프리한 복장 가능, 성과급 연 1회, 평균 연령 30대, 필요할 때 회식"
한국에스지에스(주),6,,물질성분 검사 및 분석업,46년차,이인섭,"프리한 복장 가능, 필요할 때 회의, 평균 연령 30대, 정시출근, 성과급 연 1회"
리디(주),20,중견기업,응용 소프트웨어 개발 및 공급업,17년차,배기식,"자유로운 출근, 프리한 복장 가능, 평균근속 2년 미만, 자기개발비 지원, 자유로운 연차"
코스맥스엔비티(주),10,중견기업,건강기능식품 제조업,24년차,윤원일,"프리한 복장 가능, 평균 연령 30대, 정시출근, 평균근속 2~5년, 워라밸 Good"
(주)카카오뱅크,5,대기업,국내은행,9년차,윤호영,"자유로운 출근, 프리한 복장 가능, 평균 연령 30대, 워라밸 Good, 커리어 발전 기회"
삼양식품(주),7,중견기업,"면류, 마카로니 및 유사식품 제조업",65년차,김정수/김동찬,"정시출근, 평균 연령 30대, 성과급 연 1회, 자유로운 연차, 프리한 복장 가능"
(주)여기어때컴퍼니,5,"중소기업,스타트업",포털 및 기타 인터넷 정보매개 서비스업,10년차,정명훈,"평균 연령 30대, 프리한 복장 가능, 자유로운 출근, 커리어 발전 기회, 정기적 회의 진행"
하나제약(주),1,중견기업,완제 의약품 제조업,47년차,최태홍,"정시출근, 평균 연령 30대, 필요할 때 회의, 프리한 복장 가능, 워라밸 Good"
(주)네이처리퍼블릭,4,중견기업,화장품 제조업,16년차,정운호,"정시출근, 평균 연령 30대, 프리한 복장 가능, 필요할 때 회식, 워라밸 Good"
엘아이지넥스원(주),1,"중견기업,1000대기업",무기 및 총포탄 제조업,27년차,신익현,"프리한 복장 가능, 자유로운 출근, 자유로운 연차, 평균 연령 40대 이상, 성과급 연 1회"
엠이엠씨코리아(주),,,"다이오드, 트랜지스터 및 유사 반도체소자 제조업",35년차,조찬래,"프리한 복장 가능, 필요할 때 회의, 정시출근, 자유로운 연차, 야근없는 기업"
린데코리아(주),2,,산업용 가스 제조업,50년차,성백석,"평균 연령 40대 이상, 자유로운 출근, 커리어 발전 기회, 평균근속 10년 이상, 필요할 때 회의"
(주)SPC삼립,16,중견기업,빵류 제조업,57년차,황종현,"정시출근, 프리한 복장 가능, 워라밸 Good, 필요할 때 회의, 커리어 발전 기회"
(주)엘지씨엔에스,1,"대기업,1000대기업",컴퓨터시스템 통합 자문 및 구축 서비스업,38년차,현신균,"프리한 복장 가능, 커리어 발전 기회, 평균 연령 40대 이상, 워라밸 Good, 자유로운 연차"
리뉴어스(주),46,대기업,하수 처리업,7년차,권지훈,"정시출근, 프리한 복장 가능, 평균 연령 30대, 자유로운 연차, 야근없는 기업"
머크(주),5,중견기업,의약품 도매업,36년차,김우규/이경재,"프리한 복장 가능, 자유로운 육아휴직, 자기개발비 지원, 커리어 발전 기회, 자유로운 연차"
(주)문화방송,4,,지상파 방송업,64년차,안형준,"프리한 복장 가능, 필요할 때 회의, 커리어 발전 기회, 필요할 때 회식, 자유로운 출근"
한국무브넥스(주),,중견기업,그 외 자동차용 신품 부품 제조업,51년차,이현덕,"정시출근, 커리어 발전 기회, 프리한 복장 가능, 필요할 때 회의, 평균 연령 40대 이상"
(주)도화엔지니어링,3,"중견기업,1000대기업",건물 및 토목 엔지니어링 서비스업,63년차,박승우/손영일/곽준상/김덕구,"정시출근, 평균 연령 40대 이상, 성과급 연 1회, 커리어 발전 기회, 세미정장"
SK텔레콤(주),5,"대기업,1000대기업",무선 및 위성 통신업,41년차,유영상,"커리어 발전 기회, 프리한 복장 가능, 자유로운 연차, 일하면서 성장, 자유로운 출근"
(주)현대케피코,18,"대기업,1000대기업",자동차 엔진용 신품 부품 제조업,38년차,유영종,"프리한 복장 가능, 자유로운 연차, 성과급 연 1회, 자유로운 출근, 필요할 때 회의"
한화솔루션(주),,"대기업,1000대기업",석유화학계 기초 화학물질 제조업,51년차,남정운/김동관/홍정권,"프리한 복장 가능, 커리어 발전 기회, 정시출근, 성과급 연 1회, 자유로운 연차"
동화약품(주),,"중견기업,1000대기업",완제 의약품 제조업,128년차,유준하,"정시출근, 자유로운 연차, 성과급 연 1회, 자유로운 육아휴직, 정기적 회의 진행"
(주)에이치엘클레무브,,"대기업,1000대기업",그 외 자동차용 신품 부품 제조업,17년차,윤팔주,"프리한 복장 가능, 평균 연령 30대, 자유로운 출근, 필요할 때 회의, 워라밸 Good"
